"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2026/04/05","BIC CAMERA","本人","分割","66000","0","66000","66000","0","*"
"2026/04/06","LAWSON","本人","1回払い","1000","0","1000","1000","0","*"
"2026/04/07","JR EAST","本人","1回払い","1630","0","1630","1630","0","*"
"2026/04/09","AMAZON.CO.JP","本人","1回払い","5580","0","5580","5580","0","*"
"2026/04/09","GMO*ONAMAE.COM","本人","1回払い","1408","0","1408","1408","0","*"
"2026/04/11","APPLE.COM/BILL","本人","1回払い","1200","0","1200","1200","0","*"
"2026/04/11","ENEOS","本人","1回払い","5190","0","5190","5190","0","*"
"2026/04/11","OISIX","本人","1回払い","7080","0","7080","7080","0","*"
"2026/04/13","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/04/14","STARBUCKS","本人","1回払い","1480","0","1480","1480","0","*"
"2026/04/15","YOSHINOYA","本人","1回払い","800","0","800","800","0","*"
"2026/04/16","JR EAST","本人","1回払い","2270","0","2270","2270","0","*"
"2026/04/16","STARBUCKS","本人","1回払い","990","0","990","990","0","*"
"2026/04/16","SUSHIRO","本人","1回払い","2670","0","2670","2670","0","*"
"2026/04/17","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/04/17","YOSHINOYA","本人","1回払い","880","0","880","880","0","*"
"2026/04/18","AEON STYLE","本人","1回払い","7260","0","7260","7260","0","*"
"2026/04/18","OISIX","本人","1回払い","5700","0","5700","5700","0","*"
"2026/04/19","JR EAST","本人","1回払い","1290","0","1290","1290","0","*"
"2026/04/20","AMAZON.CO.JP","本人","1回払い","1300","0","1300","1300","0","*"
"2026/04/20","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/04/20","SAIZERIYA","本人","1回払い","3200","0","3200","3200","0","*"
"2026/04/22","YOSHINOYA","本人","1回払い","890","0","890","890","0","*"
"2026/04/23","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/04/24","NTT DOCOMO","本人","1回払い","6188","0","6188","6188","0","*"
"2026/04/24","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/04/25","LAWSON","本人","1回払い","770","0","770","770","0","*"
"2026/04/25","OISIX","本人","1回払い","5810","0","5810","5810","0","*"
"2026/04/26","TEPCO","本人","1回払い","7316","0","7316","7316","0","*"
"2026/04/27","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/04/28","FAMILY MART","本人","1回払い","400","0","400","400","0","*"
"2026/04/28","SUSHIRO","本人","1回払い","1560","0","1560","1560","0","*"
"2026/04/28","TOKYO GAS CO LTD","本人","1回払い","4688","0","4688","4688","0","*"
"2026/04/05","BIC CAMERA","本人","分割","66000","0","66000","66000","0","*"
"2026/05/01","JR EAST","本人","1回払い","2220","0","2220","2220","0","*"
"2026/05/01","MATSUMOTO KIYOSHI","本人","1回払い","4610","0","4610","4610","0","*"
"2026/05/03","FAMILY MART","本人","1回払い","1210","0","1210","1210","0","*"
"2026/05/04","LIFE","本人","1回払い","6630","0","6630","6630","0","*"
"2026/05/04","OISIX","本人","1回払い","5110","0","5110","5110","0","*"
"2026/05/04","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/05/05","SEIYU","本人","1回払い","4690","0","4690","4690","0","*"
"2026/05/05","STARBUCKS","本人","1回払い","1070","0","1070","1070","0","*"
"2026/05/06","SEIYU","本人","1回払い","6020","0","6020","6020","0","*"
"2026/05/08","AMAZON.CO.JP","本人","1回払い","7410","0","7410","7410","0","*"
"2026/05/09","U-NEXT","本人","1回払い","2189","0","2189","2189","0","*"
"2026/05/10","AMAZON.CO.JP","本人","1回払い","12790","0","12790","12790","0","*"
"2026/05/11","OISIX","本人","1回払い","5530","0","5530","5530","0","*"
"2026/05/11","SEVEN-ELEVEN","本人","1回払い","1290","0","1290","1290","0","*"
"2026/05/12","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/05/14","AMAZON.CO.JP","本人","1回払い","5900","0","5900","5900","0","*"
"2026/05/14","SEVEN-ELEVEN","本人","1回払い","1600","0","1600","1600","0","*"
"2026/05/15","LAWSON","本人","1回払い","1270","0","1270","1270","0","*"
"2026/05/15","MATSUMOTO KIYOSHI","本人","1回払い","1400","0","1400","1400","0","*"
"2026/05/15","TIMES PARKING","本人","1回払い","700","0","700","700","0","*"
"2026/05/16","SAIZERIYA","本人","1回払い","1930","0","1930","1930","0","*"
"2026/05/17","MATSUMOTO KIYOSHI","本人","1回払い","1790","0","1790","1790","0","*"
"2026/05/17","YOKOHAMA WATERWORKS","本人","1回払い","4890","0","4890","4890","0","*"
"2026/05/18","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/05/18","LAWSON","本人","1回払い","1540","0","1540","1540","0","*"
"2026/05/18","OISIX","本人","1回払い","7220","0","7220","7220","0","*"
"2026/05/18","RAKUTEN ICHIBA","本人","1回払い","3390","0","3390","3390","0","*"
"2026/05/19","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/05/20","AMAZON.CO.JP","本人","1回払い","10630","0","10630","10630","0","*"
"2026/05/22","MATSUMOTO KIYOSHI","本人","1回払い","3830","0","3830","3830","0","*"
"2026/05/23","LAWSON","本人","1回払い","320","0","320","320","0","*"
"2026/05/23","MATSUMOTO KIYOSHI","本人","1回払い","3760","0","3760","3760","0","*"
"2026/05/23","MOBILE SUICA","本人","1回払い","7320","0","7320","7320","0","*"
"2026/05/23","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/05/24","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/05/25","AMAZON.CO.JP","本人","1回払い","7290","0","7290","7290","0","*"
"2026/05/25","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/05/25","NTT DOCOMO","本人","1回払い","5764","0","5764","5764","0","*"
"2026/05/25","SUSHIRO","本人","1回払い","4680","0","4680","4680","0","*"
"2026/05/26","ENEOS","本人","1回払い","7760","0","7760","7760","0","*"
"2026/05/26","TEPCO","本人","1回払い","6294","0","6294","6294","0","*"
"2026/05/28","TOKYO GAS CO LTD","本人","1回払い","3917","0","3917","3917","0","*"
"2026/04/05","BIC CAMERA","本人","分割","66000","0","66000","66000","0","*"
"2026/06/02","AMAZON.CO.JP","本人","1回払い","10520","0","10520","10520","0","*"
"2026/06/02","MOBILE SUICA","本人","1回払い","5280","0","5280","5280","0","*"
"2026/06/03","AEON STYLE","本人","1回払い","7640","0","7640","7640","0","*"
"2026/06/03","MOBILE SUICA","本人","1回払い","8290","0","8290","8290","0","*"
"2026/06/03","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/06/03","TIMES PARKING","本人","1回払い","2190","0","2190","2190","0","*"
"2026/06/04","OISIX","本人","1回払い","7260","0","7260","7260","0","*"
"2026/06/06","LIFE","本人","1回払い","2430","0","2430","2430","0","*"
"2026/06/07","AEON STYLE","本人","1回払い","6490","0","6490","6490","0","*"
"2026/06/09","FAMILY MART","本人","1回払い","870","0","870","870","0","*"
"2026/06/09","U-NEXT","本人","1回払い","2189","0","2189","2189","0","*"
"2026/06/10","LIFE","本人","1回払い","3460","0","3460","3460","0","*"
"2026/06/11","OISIX","本人","1回払い","7140","0","7140","7140","0","*"
"2026/06/11","RAKUTEN ICHIBA","本人","1回払い","9870","0","9870","9870","0","*"
"2026/06/12","MATSUMOTO KIYOSHI","本人","1回払い","2360","0","2360","2360","0","*"
"2026/06/13","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/06/14","APA HOTEL","本人","1回払い","12800","0","12800","12800","0","*"
"2026/06/15","SEIYU","本人","1回払い","7160","0","7160","7160","0","*"
"2026/06/16","MOBILE SUICA","本人","1回払い","4400","0","4400","4400","0","*"
"2026/06/16","YOSHINOYA","本人","1回払い","950","0","950","950","0","*"
"2026/06/18","AMAZON.CO.JP","本人","1回払い","7070","0","7070","7070","0","*"
"2026/06/18","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/06/18","OISIX","本人","1回払い","5620","0","5620","5620","0","*"
"2026/06/18","SAIZERIYA","本人","1回払い","3140","0","3140","3140","0","*"
"2026/06/19","AMAZON.CO.JP","本人","1回払い","-3980","0","-3980","-3980","0","*"
"2026/06/19","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/06/19","YOSHINOYA","本人","1回払い","650","0","650","650","0","*"
"2026/06/21","JR EAST","本人","1回払い","1860","0","1860","1860","0","*"
"2026/06/22","SEVEN-ELEVEN","本人","1回払い","740","0","740","740","0","*"
"2026/06/22","STARBUCKS","本人","1回払い","570","0","570","570","0","*"
"2026/06/23","JR EAST","本人","1回払い","670","0","670","670","0","*"
"2026/06/23","LAWSON","本人","1回払い","1700","0","1700","1700","0","*"
"2026/06/23","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/06/24","AEON STYLE","本人","1回払い","5760","0","5760","5760","0","*"
"2026/06/24","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/06/25","NTT DOCOMO","本人","1回払い","6331","0","6331","6331","0","*"
"2026/06/25","OISIX","本人","1回払い","4430","0","4430","4430","0","*"
"2026/06/27","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/06/27","TIMES PARKING","本人","1回払い","2220","0","2220","2220","0","*"
"2026/06/28","SEIYU","本人","1回払い","2660","0","2660","2660","0","*"
"2026/06/28","TEPCO","本人","1回払い","6811","0","6811","6811","0","*"
"2026/06/28","TOKYO GAS CO LTD","本人","1回払い","3552","0","3552","3552","0","*"
"2026/07/01","LIFE","本人","1回払い","4740","0","4740","4740","0","*"
"2026/07/01","STARBUCKS","本人","1回払い","1440","0","1440","1440","0","*"
"2026/07/02","YOSHINOYA","本人","1回払い","1150","0","1150","1150","0","*"
"2026/07/03","LIFE","本人","1回払い","5270","0","5270","5270","0","*"
"2026/07/03","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/07/04","OISIX","本人","1回払い","7120","0","7120","7120","0","*"
"2026/07/06","MICROSOFT*MICROSOFT 365","本人","1回払い","21300","0","21300","21300","0","*"
"2026/07/07","LAWSON","本人","1回払い","1430","0","1430","1430","0","*"
"2026/07/07","RAKUTEN ICHIBA","本人","1回払い","2830","0","2830","2830","0","*"
"2026/07/08","MOBILE SUICA","本人","1回払い","6110","0","6110","6110","0","*"
"2026/07/08","RAKUTEN ICHIBA","本人","1回払い","1350","0","1350","1350","0","*"
"2026/07/09","U-NEXT","本人","1回払い","2189","0","2189","2189","0","*"
"2026/07/11","OISIX","本人","1回払い","5650","0","5650","5650","0","*"
"2026/07/12","ENEOS","本人","1回払い","6580","0","6580","6580","0","*"
"2026/07/12","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/07/12","TIMES PARKING","本人","1回払い","1910","0","1910","1910","0","*"
"2026/07/13","SEIYU","本人","1回払い","3260","0","3260","3260","0","*"
"2026/07/16","MATSUMOTO KIYOSHI","本人","1回払い","2830","0","2830","2830","0","*"
"2026/07/17","SAIZERIYA","本人","1回払い","960","0","960","960","0","*"
"2026/07/17","YOKOHAMA WATERWORKS","本人","1回払い","5110","0","5110","5110","0","*"
"2026/07/18","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/07/18","OISIX","本人","1回払い","7370","0","7370","7370","0","*"
"2026/07/20","AMAZON.CO.JP","本人","1回払い","11780","0","11780","11780","0","*"
"2026/07/21","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/07/23","MATSUMOTO KIYOSHI","本人","1回払い","4580","0","4580","4580","0","*"
"2026/07/23","MOBILE SUICA","本人","1回払い","8070","0","8070","8070","0","*"
"2026/07/23","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/07/24","MOBILE SUICA","本人","1回払い","8050","0","8050","8050","0","*"
"2026/07/24","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/07/25","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/07/25","NTT DOCOMO","本人","1回払い","6017","0","6017","6017","0","*"
"2026/07/25","SEIYU","本人","1回払い","5390","0","5390","5390","0","*"
"2026/07/26","AMAZON.CO.JP","本人","1回払い","8950","0","8950","8950","0","*"
"2026/07/26","JR EAST","本人","1回払い","2250","0","2250","2250","0","*"
"2026/07/26","SUSHIRO","本人","1回払い","4620","0","4620","4620","0","*"
"2026/07/26","TIMES PARKING","本人","1回払い","930","0","930","930","0","*"
"2026/07/27","AMAZON.CO.JP","本人","1回払い","6410","0","6410","6410","0","*"
"2026/07/27","SAIZERIYA","本人","1回払い","1770","0","1770","1770","0","*"
"2026/07/28","TEPCO","本人","1回払い","9472","0","9472","9472","0","*"
"2026/07/28","TOKYO GAS CO LTD","本人","1回払い","3728","0","3728","3728","0","*"
"2026/08/02","SUSHIRO","本人","1回払い","5120","0","5120","5120","0","*"
"2026/08/03","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/08/03","YOSHINOYA","本人","1回払い","1040","0","1040","1040","0","*"
"2026/08/04","OISIX","本人","1回払い","5500","0","5500","5500","0","*"
"2026/08/04","SEIYU","本人","1回払い","5110","0","5110","5110","0","*"
"2026/08/07","RAKUTEN ICHIBA","本人","1回払い","4470","0","4470","4470","0","*"
"2026/08/08","U-NEXT","本人","1回払い","2189","0","2189","2189","0","*"
"2026/08/09","AMAZON.CO.JP","本人","1回払い","3960","0","3960","3960","0","*"
"2026/08/09","TIMES PARKING","本人","1回払い","1160","0","1160","1160","0","*"
"2026/08/09","TOHO CINEMAS","本人","1回払い","4000","0","4000","4000","0","*"
"2026/08/10","YOSHINOYA","本人","1回払い","900","0","900","900","0","*"
"2026/08/11","AEON STYLE","本人","1回払い","3700","0","3700","3700","0","*"
"2026/08/11","OISIX","本人","1回払い","7840","0","7840","7840","0","*"
"2026/08/12","AEON STYLE","本人","1回払い","6040","0","6040","6040","0","*"
"2026/08/12","STARBUCKS","本人","1回払い","680","0","680","680","0","*"
"2026/08/13","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/08/14","FAMILY MART","本人","1回払い","1930","0","1930","1930","0","*"
"2026/08/15","AEON STYLE","本人","1回払い","4840","0","4840","4840","0","*"
"2026/08/16","JR EAST","本人","1回払い","1050","0","1050","1050","0","*"
"2026/08/18","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/08/18","OISIX","本人","1回払い","5340","0","5340","5340","0","*"
"2026/08/20","SUSHIRO","本人","1回払い","2740","0","2740","2740","0","*"
"2026/08/21","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/08/21","TIMES PARKING","本人","1回払い","2080","0","2080","2080","0","*"
"2026/08/22","APPLE.COM/BILL","本人","1回払い","650","0","650","650","0","*"
"2026/08/22","SEIYU","本人","1回払い","7840","0","7840","7840","0","*"
"2026/08/23","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/08/23","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/08/24","YOSHINOYA","本人","1回払い","680","0","680","680","0","*"
"2026/08/25","AMAZON.CO.JP","本人","1回払い","9440","0","9440","9440","0","*"
"2026/08/25","OISIX","本人","1回払い","6890","0","6890","6890","0","*"
"2026/08/26","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/08/26","NTT DOCOMO","本人","1回払い","6425","0","6425","6425","0","*"
"2026/08/26","SEVEN-ELEVEN","本人","1回払い","900","0","900","900","0","*"
"2026/08/27","AEON STYLE","本人","1回払い","5140","0","5140","5140","0","*"
"2026/08/27","RAKUTEN ICHIBA","本人","1回払い","8810","0","8810","8810","0","*"
"2026/08/28","FAMILY MART","本人","1回払い","1540","0","1540","1540","0","*"
"2026/08/28","TEPCO","本人","1回払い","10836","0","10836","10836","0","*"
"2026/08/28","TOKYO GAS CO LTD","本人","1回払い","4016","0","4016","4016","0","*"
